,Fall of Wickets
0,"1-56 (FH Allen, 4.1 ov) , 2-125 (KS Williamson, 12.6 ov) , 3-152 (GD Phillips, 15.6 ov)"
1,"1-5 (DA Warner, 1.1 ov) , 2-30 (AJ Finch, 3.6 ov) , 3-34 (MR Marsh, 4.5 ov) , 4-50 (MP Stoinis, 8.2 ov) , 5-68 (TH David, 10.2 ov) , 6-82 (MS Wade, 12.2 ov) , 7-89 (GJ Maxwell, 13.3 ov) , 8-109 (MA Starc, 16.1 ov) , 9-109 (A Zampa, 16.3 ov) , 10-111 (PJ Cummins, 17.1 ov)"
2,"1-2 (A Balbirnie, 1.1 ov) , 2-26 (LJ Tucker, 4.4 ov) , 3-55 (PR Stirling, 8.4 ov) , 4-60 (C Campher, 9.6 ov) , 5-107 (GH Dockrell, 16.5 ov) , 6-117 (HT Tector, 17.6 ov) , 7-117 (GJ Delany, 18.1 ov) , 8-118 (MR Adair, 18.4 ov)"
3,"1-63 (DM de Silva, 8.2 ov)"
4,"1-1 (Babar Azam, 1.1 ov) , 2-15 (Mohammad Rizwan, 3.6 ov) , 3-91 (Iftikhar Ahmed, 12.2 ov) , 4-96 (Shadab Khan, 13.2 ov) , 5-98 (Haider Ali, 13.6 ov) , 6-115 (Mohammad Nawaz, 15.5 ov) , 7-120 (Asif Ali, 16.4 ov) , 8-151 (Shaheen Shah Afridi, 19.2 ov)"
5,"1-7 (KL Rahul, 1.5 ov) , 2-10 (RG Sharma, 3.2 ov) , 3-26 (SK Yadav, 5.3 ov) , 4-31 (AR Patel, 6.1 ov) , 5-144 (HH Pandya, 19.1 ov) , 6-158 (KD Karthik, 19.5 ov)"
6,"1-43 (Soumya Sarkar, 5.1 ov) , 2-47 (Najmul Hossain Shanto, 6.1 ov) , 3-60 (Litton Das, 8.4 ov) , 4-63 (S Al Hasan, 9.1 ov) , 5-76 (Yasir Ali, 10.6 ov) , 6-120 (Nurul Hasan, 17.1 ov) , 7-129 (Afif Hossain, 17.6 ov) , 8-134 (Taskin Ahmed, 18.3 ov)"
7,"1-0 (Vikram Singh, 0.1 ov) , 2-0 (BFW de Leede, 0.2 ov) , 3-13 (MP O'Dowd, 3.2 ov) , 4-15 (TLW Cooper, 3.4 ov) , 5-59 (SA Edwards, 11.3 ov) , 6-66 (TJG Pringle, 12.4 ov) , 7-81 (L van Beek, 14.2 ov) , 8-96 (Shariz Ahmad, 16.2 ov) , 9-101 (CN Ackermann, 16.5 ov) , 10-135 (PA van Meekeren, 19.6 ov)"
8,"1-6 (CR Ervine, 1.6 ov) , 2-12 (RW Chakabva, 2.2 ov) , 3-12 (Sikandar Raza, 2.4 ov) , 4-19 (SC Williams, 3.4 ov) , 5-74 (M Shumba, 8.7 ov)"
9,"1-6 (Kusal Mendis, 1.5 ov) , 2-75 (DM de Silva, 11.3 ov) , 3-97 (P Nissanka, 13.3 ov) , 4-106 (PBB Rajapaksa, 14.5 ov) , 5-111 (MD Shanaka, 15.6 ov) , 6-120 (W Hasaranga, 17.3 ov)"
10,"1-26 (DA Warner, 4.1 ov) , 2-60 (MR Marsh, 8.3 ov) , 3-89 (GJ Maxwell, 12.2 ov)"
11,"1-21 (PR Stirling, 2.3 ov) , 2-103 (LJ Tucker, 11.6 ov) , 3-103 (HT Tector, 12.2 ov) , 4-132 (A Balbirnie, 15.3 ov) , 5-132 (GH Dockrell, 15.4 ov) , 6-138 (C Campher, 16.3 ov) , 7-149 (MR Adair, 17.5 ov) , 8-152 (BJ McCarthy, 18.2 ov) , 9-156 (F Hand, 18.6 ov) , 10-157 (JB Little, 19.2 ov)"
12,"1-0 (JC Buttler, 0.2 ov) , 2-14 (AD Hales, 2.4 ov) , 3-29 (BA Stokes, 5.1 ov) , 4-67 (HC Brook, 10.5 ov) , 5-86 (DJ Malan, 13.1 ov)"
13,"1-2 (T Bavuma, 0.6 ov) , 2-165 (Q de Kock, 14.3 ov) , 3-175 (T Stubbs, 16.1 ov) , 4-192 (RR Rossouw, 18.3 ov) , 5-199 (AK Markram, 19.4 ov)"
14,"1-26 (Soumya Sarkar, 2.1 ov) , 2-27 (Najmul Hossain Shanto, 2.4 ov) , 3-39 (S Al Hasan, 4.4 ov) , 4-47 (Afif Hossain, 5.5 ov) , 5-66 (Mehidy Hasan Miraz, 9.4 ov) , 6-71 (Musaddek Hossain, 10.4 ov) , 7-76 (Nurul Hasan, 11.6 ov) , 8-85 (Litton Das, 13.4 ov) , 9-89 (Hasan Mahmud, 14.5 ov) , 10-101 (Taskin Ahmed, 16.3 ov)"
15,"1-11 (KL Rahul, 2.4 ov) , 2-84 (RG Sharma, 11.6 ov)"
16,"1-11 (Vikram Singh, 2.2 ov) , 2-20 (MP O'Dowd, 4.2 ov) , 3-47 (BFW de Leede, 9.2 ov) , 4-62 (CN Ackermann, 12.1 ov) , 5-63 (TLW Cooper, 12.4 ov) , 6-87 (TJG Pringle, 15.4 ov) , 7-89 (SA Edwards, 16.3 ov) , 8-101 (L van Beek, 17.5 ov) , 9-101 (FJ Klaassen, 17.6 ov)"
17,"1-42 (CR Ervine, 4.6 ov) , 2-43 (W Madhevere, 5.2 ov) , 3-64 (M Shumba, 9.4 ov) , 4-95 (SC Williams, 13.5 ov) , 5-95 (RW Chakabva, 13.6 ov) , 6-95 (Sikandar Raza, 14.3 ov) , 7-95 (LM Jongwe, 14.4 ov) , 8-126 (B Evans, 19.3 ov)"
18,"1-13 (Babar Azam, 3.3 ov) , 2-23 (Mohammad Rizwan, 4.4 ov) , 3-36 (Iftikhar Ahmed, 7.4 ov) , 4-88 (Shadab Khan, 13.4 ov) , 5-88 (Haider Ali, 13.5 ov) , 6-94 (Shan Masood, 15.2 ov) , 7-128 (Mohammad Nawaz, 19.5 ov) , 8-129 (Shaheen Shah Afridi, 19.6 ov)"
19,"1-2 (FH Allen, 0.4 ov) , 2-7 (DP Conway, 2.2 ov) , 3-15 (KS Williamson, 3.6 ov) , 4-99 (DJ Mitchell, 14.3 ov) , 5-129 (JDS Neesham, 17.1 ov) , 6-162 (GD Phillips, 19.4 ov) , 7-163 (IS Sodhi, 19.5 ov)"
20,"1-0 (P Nissanka, 0.5 ov) , 2-4 (Kusal Mendis, 1.3 ov) , 3-5 (DM de Silva, 1.6 ov) , 4-8 (KIC Asalanka, 3.3 ov) , 5-24 (C Karunaratne, 6.1 ov) , 6-58 (PBB Rajapaksa, 9.6 ov) , 7-64 (W Hasaranga, 11.4 ov) , 8-65 (M Theekshana, 12.3 ov) , 9-93 (MD Shanaka, 16.6 ov) , 10-102 (CBRLS Kumara, 19.2 ov)"
21,"1-10 (Soumya Sarkar, 1.4 ov) , 2-32 (Litton Das, 5.3 ov) , 3-86 (S Al Hasan, 12.5 ov) , 4-122 (Najmul Hossain Shanto, 16.2 ov) , 5-147 (Musaddek Hossain, 19.2 ov) , 6-149 (Nurul Hasan, 19.4 ov) , 7-150 (Afif Hossain, 19.6 ov)"
22,"1-4 (W Madhevere, 0.3 ov) , 2-17 (CR Ervine, 2.4 ov) , 3-35 (M Shumba, 5.2 ov) , 4-35 (Sikandar Raza, 5.5 ov) , 5-69 (RW Chakabva, 11.2 ov) , 6-132 (SC Williams, 18.4 ov) , 7-136 (B Evans, 19.2 ov) , 8-146 (R Ngarava, 19.5 ov)"
23,"1-7 (SJ Myburgh, 2.2 ov) , 1-19 (BFW de Leede, 5.5 ov) , 2-19 (TLW Cooper, 6.1 ov) , 3-26 (MP O'Dowd, 8.1 ov) , 4-61 (CN Ackermann, 14.2 ov) , 5-69 (SA Edwards, 15.3 ov) , 6-73 (RE van der Merwe, 16.3 ov) , 7-81 (TJG Pringle, 18.2 ov) , 8-81 (FJ Klaassen, 18.3 ov) , 9-91 (PA van Meekeren, 19.6 ov)"
24,"1-16 (Babar Azam, 1.6 ov) , 2-53 (Fakhar Zaman, 7.1 ov) , 3-83 (Muhammad Rizwan, 12.1 ov) , 4-91 (Shan Masood, 13.3 ov)"
25,"1-23 (RG Sharma, 4.2 ov) , 2-26 (KL Rahul, 4.6 ov) , 3-41 (V Kohli, 6.5 ov) , 4-42 (DJ Hooda, 7.3 ov) , 5-49 (HH Pandya, 8.3 ov) , 6-101 (KD Karthik, 15.1 ov) , 7-124 (R Ashwin, 18.1 ov) , 8-127 (SK Yadav, 18.5 ov) , 9-130 (Mohammed Shami, 19.4 ov)"
26,"1-3 (Q de Kock, 1.1 ov) , 2-3 (RR Rossouw, 1.3 ov) , 3-24 (T Bavuma, 5.4 ov) , 4-100 (AK Markram, 15.4 ov) , 5-122 (T Stubbs, 17.4 ov)"
27,"1-8 (DA Warner, 2.1 ov) , 2-60 (MR Marsh, 8.1 ov) , 3-84 (GJ Maxwell, 10.5 ov) , 4-154 (AJ Finch, 16.5 ov) , 5-160 (MP Stoinis, 18.4 ov)"
28,"1-18 (A Balbirnie, 1.6 ov) , 2-18 (PR Stirling, 2.2 ov) , 3-24 (HT Tector, 2.6 ov) , 4-25 (C Campher, 3.2 ov) , 5-25 (GH Dockrell, 3.6 ov) , 6-68 (GJ Delany, 9.2 ov) , 7-91 (MR Adair, 12.2 ov) , 8-103 (F Hand, 14.2 ov) , 9-136 (BJ McCarthy, 17.2 ov) , 10-137 (JB Little, 18.1 ov)"
29,"1-42 (Gurbaz, 6.1 ov) , 2-68 (Usman Ghani, 10.2 ov) , 3-90 (Ibrahim Zadran, 12.2 ov) , 4-113 (Najib Zadran, 15.6 ov) , 5-127 (Gulbadin Naib, 17.2 ov) , 6-140 (Mohammad Nabi, 18.5 ov) , 7-142 (Rashid Khan, 19.3 ov) , 8-144 (Mujeeb Zadran, 19.6 ov)"
30,"1-12 (P Nissanka, 1.6 ov) , 2-46 (Kusal Mendis, 7.5 ov) , 3-100 (KIC Asalanka, 13.3 ov) , 4-142 (PBB Rajapaksa, 17.6 ov)"
31,"1-81 (AD Hales, 10.2 ov) , 2-108 (MM Ali, 13.1 ov) , 3-153 (LS Livingstone, 17.4 ov) , 4-160 (HC Brook, 18.2 ov) , 5-162 (JC Buttler, 18.4 ov) , 6-176 (BA Stokes, 19.5 ov)"
32,"1-8 (DP Conway, 1.6 ov) , 2-28 (FH Allen, 4.6 ov) , 3-119 (KS Williamson, 14.5 ov) , 4-126 (JDS Neesham, 15.4 ov) , 5-131 (DJ Mitchell, 16.6 ov) , 6-135 (GD Phillips, 17.3 ov)"
33,"1-9 (W Madhevere, 1.3 ov) , 2-14 (CR Ervine, 3.6 ov) , 3-20 (RW Chakabva, 5.6 ov) , 4-68 (SC Williams, 11.5 ov) , 5-77 (M Shumba, 12.4 ov) , 6-92 (Sikandar Raza, 14.2 ov) , 7-98 (RP Burl, 15.6 ov) , 8-100 (LM Jongwe, 16.3 ov) , 9-111 (R Ngarava, 17.5 ov) , 10-117 (B Muzarabani, 19.2 ov)"
34,"1-17 (SJ Myburgh, 3.2 ov) , 2-90 (TLW Cooper, 12.5 ov) , 3-91 (CN Ackermann, 13.4 ov) , 4-109 (MP O'Dowd, 15.1 ov) , 5-116 (SA Edwards, 16.3 ov)"
35,"1-11 (RG Sharma, 3.2 ov) , 2-78 (KL Rahul, 9.2 ov) , 3-116 (SK Yadav, 13.3 ov) , 4-130 (HH Pandya, 15.1 ov) , 5-150 (KD Karthik, 16.6 ov) , 6-157 (AR Patel, 18.1 ov)"
36,"1-68 (Litton Das, 7.2 ov) , 2-84 (Najmul Hossain Shanto, 9.1 ov) , 3-99 (Afif Hossain, 11.1 ov) , 4-100 (S Al Hasan, 11.5 ov) , 5-102 (Yasir Ali, 12.2 ov) , 6-108 (Musaddek Hossain, 12.5 ov)"
37,"1-4 (Muhammad Rizwan, 0.4 ov) , 2-38 (Mohammad Haris, 4.4 ov) , 3-40 (Babar Azam, 5.2 ov) , 4-43 (Shan Masood, 6.3 ov) , 5-95 (Mohammad Nawaz, 12.6 ov) , 6-177 (Shadab Khan, 18.5 ov) , 7-177 (Mohammad Wasim, 18.6 ov) , 8-177 (Iftikhar Ahmed, 19.1 ov) , 9-185 (Haris Rauf, 19.6 ov)"
38,"1-1 (Q de Kock, 0.6 ov) , 2-16 (RR Rossouw, 2.4 ov) , 3-65 (T Bavuma, 7.1 ov) , 4-66 (AK Markram, 7.3 ov) , 5-94 (H Klaasen, 10.5 ov) , 6-99 (WD Parnell, 11.5 ov) , 7-101 (T Stubbs, 12.4 ov) , 8-103 (K Rabada, 13.2 ov) , 9-103 (A Nortje, 13.4 ov)"
39,"1-52 (FH Allen, 5.5 ov) , 2-96 (DP Conway, 11.2 ov) , 3-114 (GD Phillips, 13.1 ov) , 4-174 (KS Williamson, 18.2 ov) , 5-174 (JDS Neesham, 18.3 ov) , 6-174 (MJ Santner, 18.4 ov)"
40,"1-68 (A Balbirnie, 8.1 ov) , 2-70 (PR Stirling, 9.1 ov) , 3-73 (HT Tector, 10.3 ov) , 4-94 (GJ Delany, 13.1 ov) , 5-102 (LJ Tucker, 14.4 ov) , 6-120 (C Campher, 16.3 ov) , 7-131 (F Hand, 17.3 ov) , 8-132 (GH Dockrell, 17.5 ov) , 9-141 (MR Adair, 19.1 ov)"
41,"1-22 (C Green, 2.1 ov) , 2-48 (DA Warner, 5.2 ov) , 3-52 (SPD Smith, 5.6 ov) , 4-86 (MR Marsh, 10.4 ov) , 5-139 (MP Stoinis, 15.3 ov) , 6-155 (MS Wade, 17.5 ov) , 7-156 (PJ Cummins, 18.2 ov) , 8-159 (KW Richardson, 18.6 ov)"
42,"1-15 (Usman Ghani, 2.3 ov) , 2-40 (Gurbaz, 5.3 ov) , 3-99 (Gulbadin Naib, 13.1 ov) , 4-99 (Ibrahim Zadran, 13.2 ov) , 5-99 (Najib Zadran, 13.4 ov) , 6-103 (Mohammad Nabi, 14.3 ov) , 7-148 (Darwish Rasooli, 19.1 ov)"
43,"1-39 (Kusal Mendis, 3.6 ov) , 2-72 (DM de Silva, 8.2 ov) , 3-84 (KIC Asalanka, 10.4 ov) , 4-118 (P Nissanka, 15.3 ov) , 5-127 (MD Shanaka, 17.5 ov) , 6-140 (PBB Rajapaksa, 19.2 ov) , 7-141 (W Hasaranga, 19.5 ov) , 8-141 (C Karunaratne, 19.6 ov)"
44,"1-75 (JC Buttler, 7.2 ov) , 2-82 (AD Hales, 9.1 ov) , 3-93 (HC Brook, 10.6 ov) , 4-106 (LS Livingstone, 13.1 ov) , 5-111 (MM Ali, 14.3 ov) , 6-129 (SM Curran, 17.6 ov)"
45,"1-58 (SJ Myburgh, 8.3 ov) , 2-97 (MP O'Dowd, 12.4 ov) , 3-112 (TLW Cooper, 14.6 ov) , 4-123 (BFW de Leede, 17.1 ov)"
46,"1-21 (Q de Kock, 2.4 ov) , 2-39 (T Bavuma, 5.6 ov) , 3-64 (RR Rossouw, 9.3 ov) , 4-90 (AK Markram, 12.3 ov) , 5-112 (DA Miller, 15.2 ov) , 6-113 (WD Parnell, 15.4 ov) , 7-120 (H Klaasen, 17.3 ov) , 8-141 (KA Maharaj, 19.5 ov)"
47,"1-21 (Litton Das, 2.5 ov) , 2-73 (Soumya Sarkar, 10.4 ov) , 3-73 (S Al Hasan, 10.5 ov) , 4-91 (Najmul Hossain Shanto, 13.2 ov) , 5-107 (Musaddek Hossain, 16.2 ov) , 6-107 (Nurul Hasan, 16.5 ov) , 7-109 (Taskin Ahmed, 18.1 ov) , 8-126 (Nasum Ahmed, 19.5 ov)"
48,"1-57 (Babar Azam, 10.3 ov) , 2-61 (Muhammad Rizwan, 11.2 ov) , 3-92 (Mohammad Nawaz, 14.4 ov) , 4-121 (Mohammad Haris, 16.5 ov) , 5-126 (Iftikhar Ahmed, 17.6 ov)"
49,"1-27 (RG Sharma, 3.5 ov) , 2-87 (V Kohli, 11.5 ov) , 3-95 (KL Rahul, 12.2 ov) , 4-101 (RR Pant, 13.3 ov) , 5-166 (HH Pandya, 19.2 ov)"
50,"1-0 (W Madhevere, 0.1 ov) , 2-2 (RW Chakabva, 1.4 ov) , 3-28 (SC Williams, 5.6 ov) , 4-31 (CR Ervine, 6.4 ov) , 5-36 (T Munyonga, 7.3 ov) , 6-96 (RP Burl, 13.2 ov) , 7-104 (WP Masakadza, 15.1 ov) , 8-106 (R Ngarava, 15.5 ov) , 9-111 (Sikandar Raza, 16.4 ov) , 10-115 (TL Chatara, 17.2 ov)"
